,ID,Tweet,Source,Date,Likes,Retweet
86,1335034911066099712,The surge in people with delirium produced by the COVID-19 pandemic has focused attention on the condition and prov… https://t.co/SXSwIm6T75,Sprout Social,2020-12-05 01:35:01,117,45
87,1334993200092733441,"On the Nature podcast: Erna Solberg, Norway’s prime minister, speaks about fisheries, fossil fuels and the future o… https://t.co/bhNt4emV9q",Sprout Social,2020-12-04 22:49:16,72,20
88,1334897999902896129,News &amp; Views: A Nature paper shows that neurons of the eye can be programmed to revert to a youthful state in which… https://t.co/CRA2D23kf4,Sprout Social,2020-12-04 16:30:59,242,59
89,1334881792755687427,A study in Nature identifies how hunger status in a fly may determine which memory consolidation mechanism is used… https://t.co/ZhwgB3cXbC,Sprout Social,2020-12-04 15:26:34,84,18
90,1334840629310992384,"Mentors don't have to be wise, ancient figures, akin to Yoda in Star Wars. https://t.co/SkaQMeNHmO",Sprout Social,2020-12-04 12:43:00,204,56
91,1334704735073542144,"Demons, devils, golems and genies aren’t creatures of superstition and pseudoscience. They are useful ideas that ha… https://t.co/S0mBlRNlz6",Sprout Social,2020-12-04 03:43:01,190,56
92,1334688630628098048,A study in Nature reports a new approach to map the spatial structure of microbial communities.… https://t.co/LoMbLw9GZ7,Sprout Social,2020-12-04 02:39:01,169,32
93,1334672523913531397,"The iconic radio telescope at Arecibo Observatory in Puerto Rico has collapsed, leaving astronomers and the Puerto… https://t.co/TviAIFBiSN",Sprout Social,2020-12-04 01:35:01,94,25
94,1334630809580527617,"The Pfizer–BioNTech vaccine for COVID-19 has passed safety and efficacy tests, but scientists still have many quest… https://t.co/0kusGemTec",Sprout Social,2020-12-03 22:49:15,129,51
95,1334535603443167232,The co-chairs of the expert group of scientists convened by the Ocean Panel argue in a Nature Comment article for i… https://t.co/VHpHi8LZEu,Sprout Social,2020-12-03 16:30:56,65,14
96,1334519321473802241,A Nature paper reports that an artificial intelligence controller can help stratospheric balloons stay in place for… https://t.co/SENbq53Qoa,Sprout Social,2020-12-03 15:26:15,129,30
97,1334496002804502528,"@guessworker If you're referring to video content, then do visit our YouTube channel. All the videos (inc. animatio… https://t.co/TU2Nw3K7CV",Twitter Web App,2020-12-03 13:53:35,3,0
98,1334494812276461568,"@khatri_barkha Click the link, then click 'sign up for the Nature Briefing newsletter', then click the checkbox, cl… https://t.co/z1YzMQbC5q",Twitter Web App,2020-12-03 13:48:51,1,0
99,1334478241969680384,Researchers said they found a coronavirus that is closely related to SARS-CoV-2 in horseshoe bats stored in a freez… https://t.co/aUPUcfewMh,Sprout Social,2020-12-03 12:43:00,131,46
100,1334432834015129601,@Lady_Beaker Good luck!,Twitter Web App,2020-12-03 09:42:34,1,0
101,1334431471562616832,@Lady_Beaker You can still enter the competition 😃,Twitter Web App,2020-12-03 09:37:10,2,0
102,1334429806268739585,Sign up for Nature Briefing and be entered to win this fun set of lab based board games including Lovelace &amp; Babbag… https://t.co/YPIqNOU3PY,Twitter for Advertisers (legacy),2020-12-03 09:30:32,69,17
103,1334342350978617344,A Review in Nature surveys recent progress in understanding how stimuli such as touch are perceived through mechani… https://t.co/CaGqvp76NN,Sprout Social,2020-12-03 03:43:02,231,53
